millisec, event-type, event-code, event-value
13071, 0, 0, 0
13074, 2, 0, 1
13074, 0, 0, 0
13076, 2, 0, 1
13076, 2, 1, 1
13076, 0, 0, 0
13079, 2, 0, 1
13079, 0, 0, 0
13082, 2, 0, 1
13082, 0, 0, 0
13084, 2, 0, 1
13084, 2, 1, 1
13084, 0, 0, 0
13086, 2, 0, 1
13086, 0, 0, 0
13090, 2, 0, 1
13090, 0, 0, 0
13093, 2, 0, 1
13093, 0, 0, 0
13096, 2, 0, 1
13096, 0, 0, 0
13099, 2, 1, 1
13099, 0, 0, 0
13100, 2, 0, 1
13100, 0, 0, 0
13103, 2, 0, 1
13103, 0, 0, 0
13106, 2, 0, 1
13106, 0, 0, 0
13109, 2, 0, 1
13109, 0, 0, 0
13113, 2, 0, 1
13113, 0, 0, 0
13114, 2, 1, 1
13114, 0, 0, 0
13115, 2, 0, 1
13115, 0, 0, 0
13118, 2, 0, 1
13118, 0, 0, 0
13119, 2, 1, 1
13119, 0, 0, 0
13120, 2, 0, 1
13120, 0, 0, 0
13121, 2, 0, 1
13121, 0, 0, 0
13123, 2, 0, 1
13123, 0, 0, 0
13124, 2, 0, 1
13124, 0, 0, 0
13126, 2, 0, 1
13126, 0, 0, 0
13127, 2, 0, 1
13127, 2, 1, 1
13127, 0, 0, 0
13128, 2, 0, 1
13128, 0, 0, 0
13129, 2, 0, 1
13129, 0, 0, 0
13131, 4, 4, 589828
13131, 1, 275, 1
13131, 2, 0, 1
13131, 0, 0, 0
13132, 2, 0, 1
13132, 2, 1, 1
13132, 0, 0, 0
13133, 2, 0, 1
13133, 0, 0, 0
13134, 2, 0, 1
13134, 0, 0, 0
13135, 2, 0, 1
13135, 0, 0, 0
13136, 2, 0, 1
13136, 0, 0, 0
13137, 2, 0, 1
13137, 2, 1, 1
13137, 0, 0, 0
13138, 2, 0, 1
13138, 0, 0, 0
13139, 2, 0, 1
13139, 0, 0, 0
13140, 2, 0, 1
13140, 0, 0, 0
13141, 2, 0, 1
13141, 2, 1, 1
13141, 0, 0, 0
13142, 2, 0, 1
13142, 0, 0, 0
13143, 2, 0, 1
13143, 0, 0, 0
13144, 2, 0, 1
13144, 0, 0, 0
13145, 2, 0, 1
13145, 2, 1, 1
13145, 0, 0, 0
13146, 2, 0, 1
13146, 0, 0, 0
13147, 2, 0, 1
13147, 0, 0, 0
13148, 2, 0, 1
13148, 0, 0, 0
13149, 2, 0, 1
13149, 2, 1, 1
13149, 0, 0, 0
13150, 2, 0, 1
13150, 0, 0, 0
13151, 2, 0, 1
13151, 0, 0, 0
13152, 2, 0, 1
13152, 0, 0, 0
13154, 2, 0, 1
13154, 2, 1, 1
13154, 0, 0, 0
13155, 2, 0, 1
13155, 0, 0, 0
13157, 2, 0, 1
13157, 0, 0, 0
13158, 2, 0, 1
13158, 0, 0, 0
13160, 2, 0, 1
13160, 0, 0, 0
13162, 2, 0, 1
13162, 0, 0, 0
13163, 2, 1, 1
13163, 0, 0, 0
13165, 2, 0, 1
13165, 0, 0, 0
13167, 2, 0, 1
13167, 0, 0, 0
13171, 2, 0, 1
13171, 0, 0, 0
13175, 2, 0, 1
13175, 0, 0, 0
13176, 2, 1, 1
13176, 0, 0, 0
13178, 2, 0, 1
13178, 0, 0, 0
13181, 2, 0, 1
13181, 0, 0, 0
13187, 2, 0, 1
13187, 0, 0, 0
13193, 2, 0, 1
13193, 0, 0, 0
13232, 2, 0, -1
13232, 0, 0, 0
13236, 2, 0, -1
13236, 0, 0, 0
13239, 2, 0, -1
13239, 0, 0, 0
13241, 2, 0, -1
13241, 0, 0, 0
13243, 2, 0, -1
13243, 2, 1, -1
13243, 0, 0, 0
13245, 2, 0, -1
13245, 0, 0, 0
13247, 2, 0, -1
13247, 0, 0, 0
13249, 2, 0, -1
13249, 0, 0, 0
13251, 2, 0, -1
13251, 2, 1, -1
13251, 0, 0, 0
13253, 2, 0, -1
13253, 0, 0, 0
13254, 2, 0, -1
13254, 0, 0, 0
13257, 2, 0, -1
13257, 0, 0, 0
13259, 2, 0, -1
13259, 0, 0, 0
13260, 2, 1, -1
13260, 0, 0, 0
13261, 2, 0, -1
13261, 0, 0, 0
13264, 2, 0, -1
13264, 0, 0, 0
13266, 2, 0, -1
13266, 0, 0, 0
13267, 2, 1, -1
13267, 0, 0, 0
13270, 2, 0, -1
13270, 0, 0, 0
13276, 2, 0, -1
13276, 0, 0, 0
13280, 2, 0, -1
13280, 0, 0, 0
13289, 4, 4, 589828
13289, 1, 275, 0
13289, 0, 0, 0
13291, 2, 0, -1
13291, 0, 0, 0
13292, 2, 1, -1
13292, 0, 0, 0
13349, 2, 0, -1
13349, 0, 0, 0
13358, 2, 0, -1
13358, 0, 0, 0
13360, 2, 0, -1
13360, 0, 0, 0
13362, 2, 1, -1
13362, 0, 0, 0
13364, 2, 0, -1
13364, 0, 0, 0
13365, 2, 0, -1
13365, 0, 0, 0
13368, 2, 0, -1
13368, 0, 0, 0
13369, 2, 0, -1
13369, 0, 0, 0
13371, 2, 0, -1
13371, 0, 0, 0
13373, 2, 0, -1
13373, 0, 0, 0
13375, 2, 0, -1
13375, 0, 0, 0
13376, 2, 0, -1
13376, 0, 0, 0
13377, 2, 1, -1
13377, 0, 0, 0
13378, 2, 0, -1
13378, 0, 0, 0
13380, 2, 0, -1
13380, 0, 0, 0
13381, 2, 0, -1
13381, 0, 0, 0
13383, 2, 0, -1
13383, 0, 0, 0
13385, 2, 0, -1
13385, 0, 0, 0
13387, 2, 0, -1
13387, 0, 0, 0
13389, 2, 0, -1
13389, 0, 0, 0
13391, 2, 0, -1
13391, 0, 0, 0
13394, 2, 0, -1
13394, 0, 0, 0
13397, 2, 0, -1
13397, 0, 0, 0
13401, 2, 0, -1
13401, 0, 0, 0
13405, 2, 0, -1
13405, 0, 0, 0
13663, 2, 0, -1
13663, 0, 0, 0
13665, 2, 1, -1
13665, 0, 0, 0
13669, 2, 0, -1
13669, 2, 1, -1
13669, 0, 0, 0
13674, 2, 1, -1
13674, 0, 0, 0
13678, 2, 1, -1
13678, 0, 0, 0
13679, 2, 0, -1
13679, 0, 0, 0
13682, 2, 1, -1
13682, 0, 0, 0
13687, 2, 1, -1
13687, 0, 0, 0
13691, 2, 0, -1
13691, 0, 0, 0
13707, 2, 1, -1
13707, 0, 0, 0
13708, 2, 0, 1
13708, 0, 0, 0
13711, 2, 0, 1
13711, 0, 0, 0
13712, 2, 1, -1
13712, 0, 0, 0
13713, 2, 0, 1
13713, 0, 0, 0
13714, 2, 1, -1
13714, 0, 0, 0
13715, 2, 0, 1
13715, 0, 0, 0
13717, 2, 0, 1
13717, 2, 1, -1
13717, 0, 0, 0
13719, 2, 0, 1
13719, 2, 1, -1
13719, 0, 0, 0
13720, 2, 0, 1
13720, 0, 0, 0
13721, 2, 1, -1
13721, 0, 0, 0
13722, 2, 0, 1
13722, 0, 0, 0
13723, 2, 0, 1
13723, 2, 1, -1
13723, 0, 0, 0
13725, 2, 0, 1
13725, 2, 1, -1
13725, 0, 0, 0
13727, 2, 0, 1
13727, 2, 1, -1
13727, 0, 0, 0
13728, 2, 0, 1
