millisec, event-type, event-code, event-value
43659, 1, 32, 2
43659, 0, 0, 1
43699, 1, 32, 2
43699, 0, 0, 1
43739, 1, 32, 2
43739, 0, 0, 1
43779, 1, 32, 2
43779, 0, 0, 1
43819, 1, 32, 2
43819, 0, 0, 1
43859, 1, 32, 2
43859, 0, 0, 1
43899, 1, 32, 2
43899, 0, 0, 1
43939, 1, 32, 2
43939, 0, 0, 1
43979, 1, 32, 2
43979, 0, 0, 1
44019, 1, 32, 2
44019, 0, 0, 1
44059, 1, 32, 2
44059, 0, 0, 1
44099, 1, 32, 2
44099, 0, 0, 1
44134, 4, 4, 458759
44134, 1, 32, 0
44134, 0, 0, 0
44149, 4, 4, 458756
44149, 1, 30, 1
44149, 0, 0, 0
44403, 1, 30, 2
44403, 0, 0, 1
44443, 1, 30, 2
44443, 0, 0, 1
44483, 1, 30, 2
44483, 0, 0, 1
44490, 4, 4, 458774
44490, 1, 31, 0
44490, 4, 4, 458756
44490, 1, 30, 0
44490, 0, 0, 0
44640, 4, 4, 458759
44640, 1, 32, 1
44640, 0, 0, 0
44895, 1, 32, 2
44895, 0, 0, 1
44896, 4, 4, 458759
44896, 1, 32, 0
44896, 0, 0, 0
44986, 4, 4, 458759
44986, 1, 32, 1
44986, 0, 0, 0
45166, 4, 4, 458774
45166, 1, 31, 1
45166, 0, 0, 0
45196, 4, 4, 458759
45196, 1, 32, 0
45196, 0, 0, 0
45512, 4, 4, 458756
45512, 1, 30, 1
45512, 0, 0, 0
45767, 1, 30, 2
45767, 0, 0, 1
45807, 1, 30, 2
45807, 0, 0, 1
45847, 1, 30, 2
45847, 0, 0, 1
45873, 4, 4, 458774
45873, 1, 31, 0
45873, 0, 0, 0
45938, 4, 4, 458756
45938, 1, 30, 0
45938, 0, 0, 0
46239, 4, 4, 458778
46239, 1, 17, 1
46239, 0, 0, 0
46491, 1, 17, 2
46491, 0, 0, 1
46531, 1, 17, 2
46531, 0, 0, 1
46571, 1, 17, 2
46571, 0, 0, 1
46611, 1, 17, 2
46611, 0, 0, 1
46651, 1, 17, 2
46651, 0, 0, 1
46691, 1, 17, 2
46691, 0, 0, 1
46731, 1, 17, 2
46731, 0, 0, 1
46771, 1, 17, 2
46771, 0, 0, 1
46811, 1, 17, 2
46811, 0, 0, 1
46851, 1, 17, 2
46851, 0, 0, 1
46891, 1, 17, 2
46891, 0, 0, 1
46931, 1, 17, 2
46931, 0, 0, 1
46971, 1, 17, 2
46971, 0, 0, 1
46986, 4, 4, 458759
46986, 1, 32, 1
46986, 0, 0, 0
47131, 4, 4, 458759
47131, 1, 32, 0
47131, 0, 0, 0
47532, 4, 4, 458759
47532, 1, 32, 1
47532, 0, 0, 0
47787, 1, 32, 2
47787, 0, 0, 1
47827, 1, 32, 2
47827, 0, 0, 1
47867, 1, 32, 2
47867, 0, 0, 1
47907, 1, 32, 2
47907, 0, 0, 1
47947, 1, 32, 2
47947, 0, 0, 1
47987, 1, 32, 2
47987, 0, 0, 1
48027, 1, 32, 2
48027, 0, 0, 1
48067, 1, 32, 2
48067, 0, 0, 1
48107, 1, 32, 2
48107, 0, 0, 1
48147, 1, 32, 2
48147, 0, 0, 1
48187, 1, 32, 2
48187, 0, 0, 1
48227, 1, 32, 2
48227, 0, 0, 1
48267, 1, 32, 2
48267, 0, 0, 1
48307, 1, 32, 2
48307, 0, 0, 1
48347, 1, 32, 2
48347, 0, 0, 1
48387, 1, 32, 2
48387, 0, 0, 1
48427, 1, 32, 2
48427, 0, 0, 1
